cohort,model,endpoint,panel,p0,n_params,max_rhat,frac_rhat_gt_1.01,max_rhat_scalar,min_ess_scalar,max_rhat_beta,min_ess_beta,min_ess_bulk,min_ess_tail,n_div,div_pct,min_bfmi,treedepth_sat_pct,scalar_ok,flag
ESCA,a,OS,hallmark+combat,10,11707,1.0114,0.0001,1.0031,695.5838,1.0078,345.9871,345.9871,185.1481,1,0.025,0.7812,0.0,True,FAIL
ESCA,a,OS,hallmark+dropsing,10,11707,1.0626,0.0004,1.0094,512.5812,1.0626,44.3243,44.3243,32.9595,9,0.225,0.772,0.0,True,FAIL
ESCA,a,OS,hallmark,10,11707,1.0243,0.001,1.0153,330.5246,1.0243,460.7827,330.5246,233.1074,1,0.025,0.8093,0.0,False,FAIL
ESCA,a,PFI,hallmark+combat,10,11707,1.0178,0.0003,1.0047,1102.1104,1.0152,405.5142,382.6801,174.3467,0,0.0,0.8132,0.0,True,FAIL
ESCA,a,PFI,hallmark+dropsing,10,11707,1.0142,0.0004,1.0031,513.1056,1.0122,445.963,408.1444,177.0453,2,0.05,0.8038,0.0,True,FAIL
ESCA,a,PFI,hallmark,10,11707,1.0243,0.0003,1.0122,407.0448,1.0243,254.0478,254.0478,103.13,4,0.1,0.8022,0.0,False,FAIL
ESCA,b,OS,hallmark+combat,10,11736,1.053,0.0005,1.0077,619.1966,1.0529,60.721,60.721,43.2267,1,0.025,0.8391,0.0,True,FAIL
ESCA,b,OS,hallmark+dropsing,10,11736,1.0146,0.0005,1.0069,496.3285,1.0118,305.8069,305.8069,136.4238,3,0.075,0.85,0.0,True,FAIL
ESCA,b,OS,hallmark,10,11746,1.0172,0.0004,1.0091,375.8359,1.0172,264.951,264.951,106.4077,4,0.1,0.804,0.0,False,FAIL
ESCA,b,PFI,hallmark+combat,10,11736,1.0129,0.0002,1.0082,760.7182,1.0129,318.403,318.403,177.094,1,0.025,0.8179,0.0,True,FAIL
ESCA,b,PFI,hallmark+dropsing,10,11736,1.0115,0.0001,1.0072,782.8697,1.0115,812.8629,782.8697,459.4302,4,0.1,0.7715,0.0,True,FAIL
ESCA,b,PFI,hallmark,10,11746,1.0102,0.0001,1.0092,579.5106,1.0096,571.4601,571.4601,282.2202,4,0.1,0.7466,0.0,True,FAIL
GBM,a,OS,hallmark,10,11287,1.0152,0.0002,1.0018,831.0629,1.0149,118.6704,114.6793,172.8245,0,0.0,0.8507,0.0,True,FAIL
GBM,a,PFI,hallmark,10,11287,1.1036,0.001,1.0121,328.9755,1.1036,26.1006,26.1006,11.7282,4,0.1,0.8004,0.0,False,FAIL
GBM,b,OS,hallmark,10,11316,1.0261,0.0003,1.0076,626.75,1.0261,148.7355,148.7355,115.0698,1,0.0125,0.8238,0.0,True,FAIL
GBM,b,PFI,hallmark,10,11316,1.0206,0.0006,1.01,410.4003,1.0206,236.7721,236.7721,151.3719,8,0.2,0.7882,0.0,False,FAIL
HNSC,a,OS,hallmark,10,11518,1.3044,0.0021,1.032,152.8395,1.3028,11.0913,10.7548,60.9123,6,0.15,0.773,0.0,False,FAIL
HNSC,a,PFI,hallmark,10,11518,1.0601,0.0016,1.0163,294.0381,1.0548,60.1386,60.1386,38.3576,1,0.025,0.8488,0.0,False,FAIL
HNSC,b,OS,hallmark,10,11575,1.0822,0.0017,1.0102,246.6266,1.0779,39.4249,34.0611,21.3373,5,0.125,0.8541,0.0,False,FAIL
HNSC,b,PFI,hallmark,10,11575,1.1104,0.0018,1.0102,386.28,1.0952,36.3543,36.3543,33.5452,1,0.025,0.8314,0.0,False,FAIL
KIRC,a,OS,hallmark+combat,10,11398,1.1237,0.0015,1.0063,397.3726,1.1237,21.0766,21.0766,32.2321,4,0.1,0.8176,0.0,False,FAIL
KIRC,a,OS,hallmark+dropsing,10,11398,1.2424,0.0035,1.0444,138.9058,1.2424,12.4357,12.4357,35.7225,8,0.2,0.8254,0.0,False,FAIL
KIRC,a,OS,hallmark,10,11398,1.1096,0.0029,1.0297,277.3449,1.1096,25.0325,25.0325,13.8238,5,0.125,0.8019,0.0,False,FAIL
KIRC,a,PFI,hallmark+combat,10,11398,1.2388,0.003,1.0291,216.252,1.2388,12.3941,12.3941,10.9634,0,0.0,0.7566,0.0,False,FAIL
KIRC,a,PFI,hallmark+dropsing,10,11398,1.2039,0.0034,1.0081,340.3592,1.2005,15.0326,14.4507,30.325,1,0.025,0.8081,0.0,False,FAIL
KIRC,a,PFI,hallmark,10,11398,1.2442,0.004,1.0239,190.0721,1.2146,13.6797,12.3142,52.2441,3,0.075,0.8405,0.0,False,FAIL
KIRC,b,OS,hallmark+combat,10,11429,1.305,0.0024,1.0134,381.1722,1.305,10.2066,10.173,37.2787,3,0.075,0.7923,0.0,False,FAIL
KIRC,b,OS,hallmark+dropsing,10,11429,1.339,0.0029,1.0097,283.5557,1.3194,9.7456,9.6707,21.8748,8,0.2,0.8484,0.0,False,FAIL
KIRC,b,OS,hallmark,10,11439,1.3679,0.0031,1.0241,254.0811,1.3534,9.3731,9.0868,16.6382,7,0.175,0.8415,0.0,False,FAIL
KIRC,b,PFI,hallmark+combat,10,11429,1.0898,0.0038,1.0287,184.2784,1.0846,34.432,34.432,19.7311,2,0.05,0.8056,0.0,False,FAIL
KIRC,b,PFI,hallmark+dropsing,10,11429,1.0736,0.0026,1.0163,323.2869,1.0616,42.5729,35.654,21.3579,0,0.0,0.8162,0.0,False,FAIL
KIRC,b,PFI,hallmark,10,11439,1.0773,0.0033,1.0175,460.2309,1.0712,41.9411,39.977,52.674,6,0.15,0.8288,0.0,False,FAIL
KIRP,a,PFI,hallmark,10,11263,1.0832,0.0038,1.0106,151.9976,1.0832,41.1719,41.1719,18.1183,7,0.175,0.8572,0.0,False,FAIL
KIRP,b,PFI,hallmark,10,11330,1.1377,0.0048,1.033,127.1055,1.1377,18.7836,18.7836,7.2568,2,0.05,0.7771,0.0,False,FAIL
LGG,a,OS,hallmark,10,11026,1.2153,0.0033,1.0612,42.271,1.2153,13.334,13.334,6.8885,3,0.0375,0.8562,0.0,False,FAIL
LGG,a,PFI,hallmark,10,11026,1.1396,0.0039,1.0169,391.648,1.1287,25.8319,25.8319,28.3089,9,0.225,0.7714,0.0,False,FAIL
LGG,b,OS,hallmark,10,11079,1.1031,0.0024,1.0218,181.3154,1.1031,29.7469,27.0147,71.3769,1,0.0125,0.8238,0.0,False,FAIL
LGG,b,PFI,hallmark,10,11079,1.1322,0.0023,1.0338,172.3932,1.1252,23.7688,23.498,28.5926,7,0.175,0.8315,0.0,False,FAIL
LIHC,a,OS,hallmark,10,11431,1.0584,0.0017,1.0062,459.4148,1.0548,60.521,60.521,25.3864,2,0.05,0.852,0.0,True,FAIL
LIHC,a,PFI,hallmark,10,11431,1.2475,0.0018,1.0053,329.3467,1.2475,11.675,11.675,15.3735,2,0.05,0.856,0.0,False,FAIL
