cohort,endpoint,panel,p0,status,n_patients,n_events,n_sites,n_genes,div_A,div_B,hits_A,hits_B,sigma_site_mean,ICC_site_mean,ICC_site_lo,ICC_site_hi,ICC_genomic_mean,ICC_genomic_lo,ICC_genomic_hi,ICC_residual_mean,ICC_residual_lo,ICC_residual_hi,minutes,cindex_A,cindex_B,cindex_gap,cv_scheme
LUSC,PFI,hallmark+dropsing,10,ok,492.0,145.0,30.0,3867.0,2.0,6.0,0.0,0.0,0.2697011349283955,0.0460535497260423,0.0012044236524682,0.1278333226463868,0.0999539357915419,0.0149393540628628,0.1963320027011017,0.8539925144824156,0.7349568376244346,0.955848953655588,17.5,,,,
LUSC,OS,hallmark+dropsing,10,ok,491.0,210.0,30.0,3867.0,2.0,2.0,0.0,0.0,0.4492567977284433,0.0980873589069382,0.030797674025149,0.1966114666666329,0.0163041471708603,0.0001746529232771,0.0501094196016288,0.8856084939222013,0.7873822103564333,0.9579001515311204,17.2,,,,
MESO,PFI,hallmark,10,ok,83.0,59.0,13.0,3820.0,4.0,5.0,0.0,0.0,0.4444497623899655,0.1565207833184937,0.0140820674631335,0.3752792154178609,0.3036557905304308,0.1266484640720817,0.4876098636417258,0.5398234261510755,0.3334898771454168,0.7431039495393146,15.1,0.6275229357798165,0.6557798165137615,0.0282568807339449,preserved5
MESO,OS,hallmark,10,ok,85.0,73.0,13.0,3820.0,8.0,11.0,0.0,0.0,0.5800745931260335,0.2739102233603769,0.0180853185315418,0.5605689478080571,0.4081628853429807,0.2111052642886792,0.6095776084304338,0.3179268912966423,0.1634761594357083,0.5137086172377292,17.7,0.6751592356687898,0.7164088565362451,0.0412496208674553,preserved5
OV,OS,hallmark,10,ok,419.0,261.0,20.0,3847.0,66.0,29.0,0.0,0.0,0.4335707245400777,0.1707216783534628,0.0697282726222754,0.3273309083025831,0.024262847469763,0.0004126122100593,0.0723398992268867,0.8050154741767741,0.654520317945921,0.9099140660013724,50.0,0.530227985935196,0.5189043064009982,-0.0113236795341978,preserved5
OV,PFI,hallmark,10,ok,419.0,303.0,20.0,3847.0,1.0,1.0,0.0,0.0,0.267897862214588,0.0634801346061912,0.015990645453914,0.1412445558633785,0.1385956469170925,0.0545843735754103,0.2255442761752345,0.7979242184767164,0.6899853365981955,0.8935626256492218,52.9,0.5447177864096293,0.5453571828194185,0.0006393964097891,preserved5
PAAD,OS,hallmark,10,ok,177.0,93.0,27.0,3936.0,26.0,13.0,0.0,0.0,0.457016912134424,0.1645249282544219,0.0235491148328698,0.3552606098175515,0.2976146810787956,0.1326339577601071,0.4866657862015371,0.5378603906667825,0.3459411521739725,0.7272728045372513,21.2,0.6162318220701454,0.6020102651839179,-0.0142215568862275,preserved5
PAAD,PFI,hallmark,10,ok,177.0,104.0,27.0,3936.0,0.0,0.0,1.0,1.0,0.2736073365752109,0.0705652636698778,0.0009564465790512,0.1989772309584124,0.5018025356426195,0.3294208312007673,0.6630513553618269,0.4276322006875027,0.2760365774549704,0.586584733363757,36.1,0.6258674444332696,0.6185255958966107,-0.0073418485366588,preserved5
PCPG,PFI,-,10,skip_low_events(20),,,,,,,,,,,,,,,,,,,,,,,
PCPG,OS,-,10,skip_low_events(6),,,,,,,,,,,,,,,,,,,,,,,
PRAD,PFI,hallmark,10,ok,497.0,93.0,32.0,3714.0,8.0,2.0,0.0,0.0,0.3002430692682336,0.0617513108417301,0.0007986290157059,0.1852231039356329,0.2684258448390288,0.1463408100519546,0.3939466332662019,0.6698228443192411,0.5295584096640047,0.8014299060876154,50.8,0.6586494661273278,0.6655369702270325,0.0068875040997047,preserved5
PRAD,OS,-,10,skip_low_events(10),,,,,,,,,,,,,,,,,,,,,,,
READ,PFI,-,10,skip_low_events(36),,,,,,,,,,,,,,,,,,,,,,,
READ,OS,-,10,skip_low_events(25),,,,,,,,,,,,,,,,,,,,,,,
SARC,OS,hallmark,10,ok,259.0,98.0,34.0,3852.0,5.0,3.0,0.0,0.0,0.2433647778575598,0.0421544274289251,0.0003453825689589,0.1432319262003319,0.414844759406735,0.2326894337443567,0.5965632891998224,0.5430008131643399,0.3687324920161963,0.7239089945382757,48.2,0.6110889243876464,0.6169462193823216,0.0058572949946752,preserved5
